project,opt_level,binary,function,source_paths,source_verified,codex_path,codex_downloaded,codex_contains_function,claude-code_path,claude-code_downloaded,claude-code_contains_function
bash,O2-noinline,man2html,scan_format,sources/bash/man2html.c,True,results/codex/O2-noinline/bash/man2html.c,True,True,results/claude-code/O2-noinline/bash/man2html.c,True,True
coreutils,O2-noinline,chown,usage,sources/coreutils/chown.c,True,results/codex/O2-noinline/coreutils/chown.c,True,True,results/claude-code/O2-noinline/coreutils/chown.c,True,True
coreutils,O2-noinline,comm,compare_files,sources/coreutils/comm.c,True,results/codex/O2-noinline/coreutils/comm.c,True,True,results/claude-code/O2-noinline/coreutils/comm.c,True,True
coreutils,O2-noinline,cp,copy_reg,sources/coreutils/copy.c,True,results/codex/O2-noinline/coreutils/cp.c,True,True,results/claude-code/O2-noinline/coreutils/cp.c,True,True
coreutils,O2-noinline,df,filter_mount_list,sources/coreutils/df.c,True,results/codex/O2-noinline/coreutils/df.c,True,True,results/claude-code/O2-noinline/coreutils/df.c,True,True
coreutils,O2-noinline,shred,dopass,sources/coreutils/shred.c,True,results/codex/O2-noinline/coreutils/shred.c,True,True,results/claude-code/O2-noinline/coreutils/shred.c,True,True
coreutils,O2-noinline,sort,mergelines_node,sources/coreutils/sort.c,True,results/codex/O2-noinline/coreutils/sort.c,True,True,results/claude-code/O2-noinline/coreutils/sort.c,True,True
coreutils,O2-noinline,touch,main,sources/coreutils/touch.c,True,results/codex/O2-noinline/coreutils/touch.c,True,True,results/claude-code/O2-noinline/coreutils/touch.c,True,True
cronie,O2-noinline,crontab,get_range,sources/cronie/entry.c,True,results/codex/O2-noinline/cronie/crontab.c,True,True,results/claude-code/O2-noinline/cronie/crontab.c,True,True
cronie,O2-noinline,cronnext,get_range,sources/cronie/entry.c,True,results/codex/O2-noinline/cronie/cronnext.c,True,True,results/claude-code/O2-noinline/cronie/cronnext.c,True,True
diffutils,O2-noinline,cmp,cmp,sources/diffutils/cmp.c,True,results/codex/O2-noinline/diffutils/cmp.c,True,True,results/claude-code/O2-noinline/diffutils/cmp.c,True,True
diffutils,O2-noinline,diff3,output_diff3_edscript,sources/diffutils/diff3.c,True,results/codex/O2-noinline/diffutils/diff3.c,True,True,results/claude-code/O2-noinline/diffutils/diff3.c,True,True
dpkg,O2-noinline,dpkg-divert,diversion_add,sources/dpkg/divertcmd.c,True,results/codex/O2-noinline/dpkg/dpkg-divert.c,True,True,results/claude-code/O2-noinline/dpkg/dpkg-divert.c,True,True
dpkg,O2-noinline,dpkg-query,pkg_array_match_patterns,sources/dpkg/querycmd.c,True,results/codex/O2-noinline/dpkg/dpkg-query.c,True,True,results/claude-code/O2-noinline/dpkg/dpkg-query.c,True,True
e2fsprogs,O2-noinline,e2fsck,check_ea_in_inode,sources/e2fsprogs/pass1.c,True,results/codex/O2-noinline/e2fsprogs/e2fsck.c,True,True,results/claude-code/O2-noinline/e2fsprogs/e2fsck.c,True,True
gnutls,O2-noinline,certtool,yyparse,sources/gnutls/parse-datetime.c,True,results/codex/O2-noinline/gnutls/certtool.c,True,True,results/claude-code/O2-noinline/gnutls/certtool.c,True,True
gnutls,O2-noinline,psktool,process_options,sources/gnutls/psktool-options.c,True,results/codex/O2-noinline/gnutls/psktool.c,True,True,results/claude-code/O2-noinline/gnutls/psktool.c,True,True
gnutls,O2-noinline,gnutls-cli,send_ocsp_request,sources/gnutls/ocsptool-common.c,True,results/codex/O2-noinline/gnutls/gnutls-cli.c,True,True,results/claude-code/O2-noinline/gnutls/gnutls-cli.c,True,True
gnutls,O2-noinline,gnutls-serv,main,sources/gnutls/certtool.c,True,results/codex/O2-noinline/gnutls/gnutls-serv.c,True,True,results/claude-code/O2-noinline/gnutls/gnutls-serv.c,True,True
gnutls,O2-noinline,ocsptool,socket_open2,sources/gnutls/socket.c,True,results/codex/O2-noinline/gnutls/ocsptool.c,True,True,results/claude-code/O2-noinline/gnutls/ocsptool.c,True,True
gnutls,O2-noinline,systemkey,print_list,sources/gnutls/common.c,True,results/codex/O2-noinline/gnutls/systemkey.c,True,True,results/claude-code/O2-noinline/gnutls/systemkey.c,True,True
libacl,O2-noinline,chacl,main,sources/libacl/chacl.c,True,results/codex/O2-noinline/libacl/chacl.c,True,True,results/claude-code/O2-noinline/libacl/chacl.c,True,True
libacl,O2-noinline,setfacl,restore,sources/libacl/setfacl.c,True,results/codex/O2-noinline/libacl/setfacl.c,True,True,results/claude-code/O2-noinline/libacl/setfacl.c,True,True
libopencm3,O2-noinline,cdcacm,dwc_poll,sources/libopencm3/usb_dwc_common.c,True,results/codex/O2-noinline/libopencm3/cdcacm.c,True,True,results/claude-code/O2-noinline/libopencm3/cdcacm.c,True,True
libopencm3,O2-noinline,msc,_usbd_standard_request_device,sources/libopencm3/usb_standard.c,True,results/codex/O2-noinline/libopencm3/msc.c,True,True,results/claude-code/O2-noinline/libopencm3/msc.c,True,True
libopencm3,O2-noinline,sdram,main,sources/libopencm3/sdram.c,True,results/codex/O2-noinline/libopencm3/sdram.c,True,True,results/claude-code/O2-noinline/libopencm3/sdram.c,True,True
libopencm3,O2-noinline,usbmidi,dwc_poll,sources/libopencm3/usb_dwc_common.c,True,results/codex/O2-noinline/libopencm3/usbmidi.c,True,True,results/claude-code/O2-noinline/libopencm3/usbmidi.c,True,True
openssh-portable,O2-noinline,ssh,revoked_serial_tree_RB_REMOVE_COLOR,sources/openssh-portable/krl.c,True,results/codex/O2-noinline/openssh-portable/ssh.c,True,True,results/claude-code/O2-noinline/openssh-portable/ssh.c,True,True
openssh-portable,O2-noinline,ssh-add,revoked_certs_generate,sources/openssh-portable/krl.c,True,results/codex/O2-noinline/openssh-portable/ssh-add.c,True,True,results/claude-code/O2-noinline/openssh-portable/ssh-add.c,True,True
openssh-portable,O2-noinline,ssh-keygen,ssh_rsa_verify,sources/openssh-portable/ssh-rsa.c,True,results/codex/O2-noinline/openssh-portable/ssh-keygen.c,True,True,results/claude-code/O2-noinline/openssh-portable/ssh-keygen.c,True,True
openssh-portable,O2-noinline,ssh-keyscan,argv_split,sources/openssh-portable/auth2-pubkey.c,True,results/codex/O2-noinline/openssh-portable/ssh-keyscan.c,True,True,results/claude-code/O2-noinline/openssh-portable/ssh-keyscan.c,True,True
openssh-portable,O2-noinline,ssh-pkcs11-helper,pkcs11_fetch_rsa_pubkey,sources/openssh-portable/ssh-pkcs11.c,True,results/codex/O2-noinline/openssh-portable/ssh-pkcs11-helper.c,True,True,results/claude-code/O2-noinline/openssh-portable/ssh-pkcs11-helper.c,True,True
openssh-portable,O2-noinline,ssh-sk-helper,cert_parse,sources/openssh-portable/sshkey.c,True,results/codex/O2-noinline/openssh-portable/ssh-sk-helper.c,True,True,results/claude-code/O2-noinline/openssh-portable/ssh-sk-helper.c,True,True
shadow,O2-noinline,groupmod,grp_update,sources/shadow/groupmod.c,True,results/codex/O2-noinline/shadow/groupmod.c,True,True,results/claude-code/O2-noinline/shadow/groupmod.c,True,True
shadow,O2-noinline,grpunconv,main,sources/shadow/grpunconv.c,True,results/codex/O2-noinline/shadow/grpunconv.c,True,True,results/claude-code/O2-noinline/shadow/grpunconv.c,True,True
shadow,O2-noinline,login,main,sources/shadow/login.c,True,results/codex/O2-noinline/shadow/login.c,True,True,results/claude-code/O2-noinline/shadow/login.c,False,False
shadow,O2-noinline,newusers,close_files,sources/shadow/newusers.c,True,results/codex/O2-noinline/shadow/newusers.c,True,True,results/claude-code/O2-noinline/shadow/newusers.c,True,True
shadow,O2-noinline,useradd,grp_update,sources/shadow/useradd.c,True,results/codex/O2-noinline/shadow/useradd.c,True,True,results/claude-code/O2-noinline/shadow/useradd.c,True,True
shadow,O2-noinline,vipw,main,sources/shadow/vipw.c,True,results/codex/O2-noinline/shadow/vipw.c,True,True,results/claude-code/O2-noinline/shadow/vipw.c,True,True
shadow,O2-noinline,usermod,update_gshadow,sources/shadow/usermod.c,True,results/codex/O2-noinline/shadow/usermod.c,True,True,results/claude-code/O2-noinline/shadow/usermod.c,True,True
sysvinit,O2-noinline,bootlogd,main,sources/sysvinit/bootlogd.c,True,results/codex/O2-noinline/sysvinit/bootlogd.c,True,True,results/claude-code/O2-noinline/sysvinit/bootlogd.c,True,True
sysvinit,O2-noinline,init,check_init_fifo,sources/sysvinit/init.c,True,results/codex/O2-noinline/sysvinit/init.c,True,True,results/claude-code/O2-noinline/sysvinit/init.c,True,True
sysvinit,O2-noinline,killall5,readproc,sources/sysvinit/killall5.c,True,results/codex/O2-noinline/sysvinit/killall5.c,True,True,results/claude-code/O2-noinline/sysvinit/killall5.c,True,True
sysvinit,O2-noinline,last,list,sources/sysvinit/last.c,True,results/codex/O2-noinline/sysvinit/last.c,True,True,results/claude-code/O2-noinline/sysvinit/last.c,True,True
sysvinit,O2-noinline,shutdown,wall,sources/sysvinit/dowall.c,True,results/codex/O2-noinline/sysvinit/shutdown.c,True,True,results/claude-code/O2-noinline/sysvinit/shutdown.c,True,True
sysvinit,O2-noinline,sulogin,getpasswd,sources/sysvinit/sulogin.c,True,results/codex/O2-noinline/sysvinit/sulogin.c,True,True,results/claude-code/O2-noinline/sysvinit/sulogin.c,True,True
sysvinit,O2-noinline,utmpdump,dump,sources/sysvinit/utmpdump.c,True,results/codex/O2-noinline/sysvinit/utmpdump.c,True,True,results/claude-code/O2-noinline/sysvinit/utmpdump.c,True,True
sysvinit,O2-noinline,wall,wall,sources/sysvinit/dowall.c,True,results/codex/O2-noinline/sysvinit/wall.c,True,True,results/claude-code/O2-noinline/sysvinit/wall.c,True,True
zlib,O2-noinline,libz.so.1.2,deflate_slow,sources/zlib/deflate.c,True,results/codex/O2-noinline/zlib/libz.so.1.2.c,True,True,results/claude-code/O2-noinline/zlib/libz.so.1.2.c,True,True
zlib,O2-noinline,minigzip,inflate_table,sources/zlib/inftrees.c,True,results/codex/O2-noinline/zlib/minigzip.c,True,True,results/claude-code/O2-noinline/zlib/minigzip.c,True,True
zlib,O2-noinline,minigzipsh,main,sources/zlib/minigzip.c,True,results/codex/O2-noinline/zlib/minigzipsh.c,True,True,results/claude-code/O2-noinline/zlib/minigzipsh.c,True,True
zlib,O2-noinline,minigzip64,inflate_fast,sources/zlib/inffast.c,True,results/codex/O2-noinline/zlib/minigzip64.c,True,True,results/claude-code/O2-noinline/zlib/minigzip64.c,True,True
