project,opt_level,binary,function,agent,source_available,decompiled_available,source_path,decompiled_path
bash,O2-noinline,man2html,scan_format,codex,True,True,sources/bash/man2html.c,results/codex/O2-noinline/bash/man2html.c
bash,O2-noinline,man2html,scan_format,claude-code,True,True,sources/bash/man2html.c,results/claude-code/O2-noinline/bash/man2html.c
coreutils,O2-noinline,chown,usage,codex,True,True,"sources/coreutils/chown.c (CFG-selected: overlap=4, coverage=0.029; candidates: sources/coreutils/chown.c, sources/coreutils/b2sum-digest.c, sources/coreutils/base32-basenc.c, sources/coreutils/base64-basenc.c, sources/coreutils/basename.c, sources/coreutils/basenc-basenc.c, sources/coreutils/cat.c, sources/coreutils/chcon.c, sources/coreutils/chgrp.c, sources/coreutils/chmod.c, sources/coreutils/chroot.c, sources/coreutils/cksum-digest.c, sources/coreutils/comm.c, sources/coreutils/cp.32273429.c, sources/coreutils/cp.c, sources/coreutils/df.c, sources/coreutils/shred.c, sources/coreutils/sort.c, sources/coreutils/touch.c)",results/codex/O2-noinline/coreutils/chown.c
coreutils,O2-noinline,chown,usage,claude-code,True,True,"sources/coreutils/chown.c (CFG-selected: overlap=4, coverage=0.029; candidates: sources/coreutils/chown.c, sources/coreutils/b2sum-digest.c, sources/coreutils/base32-basenc.c, sources/coreutils/base64-basenc.c, sources/coreutils/basename.c, sources/coreutils/basenc-basenc.c, sources/coreutils/cat.c, sources/coreutils/chcon.c, sources/coreutils/chgrp.c, sources/coreutils/chmod.c, sources/coreutils/chroot.c, sources/coreutils/cksum-digest.c, sources/coreutils/comm.c, sources/coreutils/cp.32273429.c, sources/coreutils/cp.c, sources/coreutils/df.c, sources/coreutils/shred.c, sources/coreutils/sort.c, sources/coreutils/touch.c)",results/claude-code/O2-noinline/coreutils/chown.c
coreutils,O2-noinline,comm,compare_files,codex,True,True,sources/coreutils/comm.c,results/codex/O2-noinline/coreutils/comm.c
coreutils,O2-noinline,comm,compare_files,claude-code,True,True,sources/coreutils/comm.c,results/claude-code/O2-noinline/coreutils/comm.c
coreutils,O2-noinline,cp,copy_reg,codex,True,True,sources/coreutils/copy.c,results/codex/O2-noinline/coreutils/cp.c
coreutils,O2-noinline,cp,copy_reg,claude-code,True,True,sources/coreutils/copy.c,results/claude-code/O2-noinline/coreutils/cp.c
coreutils,O2-noinline,df,filter_mount_list,codex,True,True,sources/coreutils/df.c,results/codex/O2-noinline/coreutils/df.c
coreutils,O2-noinline,df,filter_mount_list,claude-code,True,True,sources/coreutils/df.c,results/claude-code/O2-noinline/coreutils/df.c
coreutils,O2-noinline,shred,dopass,codex,True,True,sources/coreutils/shred.c,results/codex/O2-noinline/coreutils/shred.c
coreutils,O2-noinline,shred,dopass,claude-code,True,True,sources/coreutils/shred.c,results/claude-code/O2-noinline/coreutils/shred.c
coreutils,O2-noinline,sort,mergelines_node,codex,True,True,sources/coreutils/sort.c,results/codex/O2-noinline/coreutils/sort.c
