project,opt_level,binary,function,size,agent,pattern,hit,type_match,byte_match,ged,evidence
bash,O2-noinline,man2html,scan_format,271,codex,SC-01,no,0.18181818181818182,0.23746701846965698,99.0,no role-aligned static-to-extern declaration
bash,O2-noinline,man2html,scan_format,271,codex,ST-01,candidate,0.18181818181818182,0.23746701846965698,99.0,custom struct INTDEF absent; custom fields used=['next']
bash,O2-noinline,man2html,scan_format,271,codex,PTR-01,unevaluable,0.18181818181818182,0.23746701846965698,99.0,no aligned explicit struct fields
bash,O2-noinline,man2html,scan_format,271,codex,INT-01,unevaluable,0.18181818181818182,0.23746701846965698,99.0,no safely aligned integer declarations
bash,O2-noinline,man2html,scan_format,271,codex,FN-01,candidate,0.18181818181818182,0.23746701846965698,99.0,parameter 2: TABLEROW** vs TblRow**
bash,O2-noinline,man2html,scan_format,271,codex,LAYOUT-01,unevaluable,0.18181818181818182,0.23746701846965698,99.0,no same-name explicit struct definitions
bash,O2-noinline,man2html,scan_format,271,codex,ARR-01,no,0.18181818181818182,0.23746701846965698,99.0,no array/pointer sentinel mismatch found
bash,O2-noinline,man2html,scan_format,271,claude-code,SC-01,no,0.18181818181818182,0.232,93.0,no role-aligned static-to-extern declaration
bash,O2-noinline,man2html,scan_format,271,claude-code,ST-01,candidate,0.18181818181818182,0.232,93.0,custom struct INTDEF absent; custom fields used=['next']
bash,O2-noinline,man2html,scan_format,271,claude-code,PTR-01,unevaluable,0.18181818181818182,0.232,93.0,no aligned explicit struct fields
bash,O2-noinline,man2html,scan_format,271,claude-code,INT-01,unevaluable,0.18181818181818182,0.232,93.0,no safely aligned integer declarations
bash,O2-noinline,man2html,scan_format,271,claude-code,FN-01,unevaluable,0.18181818181818182,0.232,93.0,"signature parse is not trustworthy: source=('char *', ('char *', 'TABLEROW **', 'int *')); decompiled=('/* parses', ('void',))"
bash,O2-noinline,man2html,scan_format,271,claude-code,LAYOUT-01,unevaluable,0.18181818181818182,0.232,93.0,no same-name explicit struct definitions
bash,O2-noinline,man2html,scan_format,271,claude-code,ARR-01,no,0.18181818181818182,0.232,93.0,no array/pointer sentinel mismatch found
coreutils,O2-noinline,chown,usage,149,codex,SC-01,no,0.2,0.0,2.0,no role-aligned static-to-extern declaration
coreutils,O2-noinline,chown,usage,149,codex,ST-01,no,0.2,0.0,2.0,no missing-member diagnostic or visible collision
coreutils,O2-noinline,chown,usage,149,codex,PTR-01,unevaluable,0.2,0.0,2.0,no aligned explicit struct fields
coreutils,O2-noinline,chown,usage,149,codex,INT-01,unevaluable,0.2,0.0,2.0,no safely aligned integer declarations
coreutils,O2-noinline,chown,usage,149,codex,FN-01,no,0.2,0.0,2.0,"matching canonical signature=('void', ('int',))"
coreutils,O2-noinline,chown,usage,149,codex,LAYOUT-01,unevaluable,0.2,0.0,2.0,no same-name explicit struct definitions
coreutils,O2-noinline,chown,usage,149,codex,ARR-01,candidate,0.2,0.0,2.0,static arrays/pointers and extern objects exist but role mapping is incomplete
coreutils,O2-noinline,chown,usage,149,claude-code,SC-01,no,0.2,1.0,2.0,no role-aligned static-to-extern declaration
coreutils,O2-noinline,chown,usage,149,claude-code,ST-01,no,0.2,1.0,2.0,no missing-member diagnostic or visible collision
coreutils,O2-noinline,chown,usage,149,claude-code,PTR-01,unevaluable,0.2,1.0,2.0,no aligned explicit struct fields
coreutils,O2-noinline,chown,usage,149,claude-code,INT-01,unevaluable,0.2,1.0,2.0,no safely aligned integer declarations
coreutils,O2-noinline,chown,usage,149,claude-code,FN-01,no,0.2,1.0,2.0,"matching canonical signature=('void', ('int',))"
coreutils,O2-noinline,chown,usage,149,claude-code,LAYOUT-01,unevaluable,0.2,1.0,2.0,no same-name explicit struct definitions
coreutils,O2-noinline,chown,usage,149,claude-code,ARR-01,candidate,0.2,1.0,2.0,static arrays/pointers and extern objects exist but role mapping is incomplete
coreutils,O2-noinline,comm,compare_files,254,codex,SC-01,candidate,0.3333333333333333,0.26973684210526316,,"file-scope static objects emitted as extern; linkage must be checked against ELF/output contract: col_sep, hard_LC_COLLATE, issued_disorder_warning, seen_unpairable"
coreutils,O2-noinline,comm,compare_files,254,codex,ST-01,no,0.3333333333333333,0.26973684210526316,,no missing-member diagnostic or visible collision
coreutils,O2-noinline,comm,compare_files,254,codex,PTR-01,no,0.3333333333333333,0.26973684210526316,,pointer depth agrees for 3 aligned fields
coreutils,O2-noinline,comm,compare_files,254,codex,INT-01,unevaluable,0.3333333333333333,0.26973684210526316,,no safely aligned integer declarations
coreutils,O2-noinline,comm,compare_files,254,codex,FN-01,no,0.3333333333333333,0.26973684210526316,,"matching canonical signature=('void', ('char**',))"
coreutils,O2-noinline,comm,compare_files,254,codex,LAYOUT-01,no,0.3333333333333333,0.26973684210526316,,matching field order/types for ['linebuffer']
coreutils,O2-noinline,comm,compare_files,254,codex,ARR-01,candidate,0.3333333333333333,0.26973684210526316,,static arrays/pointers and extern objects exist but role mapping is incomplete
coreutils,O2-noinline,comm,compare_files,254,claude-code,SC-01,candidate,0.5333333333333333,0.0,,"file-scope static objects emitted as extern; linkage must be checked against ELF/output contract: col_sep, hard_LC_COLLATE, issued_disorder_warning, seen_unpairable, total_option"
coreutils,O2-noinline,comm,compare_files,254,claude-code,ST-01,no,0.5333333333333333,0.0,,no missing-member diagnostic or visible collision
coreutils,O2-noinline,comm,compare_files,254,claude-code,PTR-01,no,0.5333333333333333,0.0,,pointer depth agrees for 3 aligned fields
coreutils,O2-noinline,comm,compare_files,254,claude-code,INT-01,no,0.5333333333333333,0.0,,typedefs agree for 1 exact-name declarations
coreutils,O2-noinline,comm,compare_files,254,claude-code,FN-01,no,0.5333333333333333,0.0,,"matching canonical signature=('void', ('char**',))"
coreutils,O2-noinline,comm,compare_files,254,claude-code,LAYOUT-01,candidate,0.5333333333333333,0.0,,struct linebuffer.size: idx_t vs size_t; struct linebuffer.length: idx_t vs size_t
coreutils,O2-noinline,comm,compare_files,254,claude-code,ARR-01,candidate,0.5333333333333333,0.0,,static arrays/pointers and extern objects exist but role mapping is incomplete
coreutils,O2-noinline,cp,copy_reg,590,codex,SC-01,no,0.4411764705882353,0.24840255591054314,26.0,no role-aligned static-to-extern declaration
coreutils,O2-noinline,cp,copy_reg,590,codex,ST-01,candidate,0.4411764705882353,0.24840255591054314,26.0,"custom struct F_triple absent; custom fields used=['st_dev', 'st_ino']"
coreutils,O2-noinline,cp,copy_reg,590,codex,PTR-01,no,0.4411764705882353,0.24840255591054314,26.0,pointer depth agrees for 25 aligned fields
coreutils,O2-noinline,cp,copy_reg,590,codex,INT-01,no,0.4411764705882353,0.24840255591054314,26.0,typedefs agree for 2 exact-name declarations
coreutils,O2-noinline,cp,copy_reg,590,codex,FN-01,no,0.4411764705882353,0.24840255591054314,26.0,"matching canonical signature=('bool', ('const char*', 'const char*', 'int', 'const char*', 'const struct cp_options*', 'mode_t', 'mode_t', 'bool*', 'const struct stat*'))"
coreutils,O2-noinline,cp,copy_reg,590,codex,LAYOUT-01,yes,0.4411764705882353,0.24840255591054314,26.0,"struct cp_options: source=[('backup_type', 'enum backup_type'), ('dereference', 'enum Dereference_symlink'), ('interactive', 'enum Interactive'), ('sparse_mode', 'enum Sparse_type'), ('mode', 'mode_t'), ('copy_as_regular', ''), ('unlink_dest_before_opening', ''), ('unlink_dest_after_failed_open', ''), ('hard_link', ''), ('move_mode', ''), ('install_mode', ''), ('chown_privileges', ''), ('owner_privileges', ''), ('one_file_system', ''), ('preserve_ownership', ''), ('preserve_mode', ''), ('preserve_timestamps', ''), ('explicit_no_preserve_mode', ''), ('set_security_context', 'struct selabel_handle *'), ('preserve_links', ''), ('data_copy_required', ''), ('require_preserve', ''), ('preserve_security_context', ''), ('require_preserve_context', ''), ('preserve_xattr', ''), ('require_preserve_xattr', ''), ('reduce_diagnostics', ''), ('recursive', ''), ('set_mode', ''), ('symbolic_link', ''), ('update', ''), ('verbose', ''), ('stdin_tty', ''), ('open_dangling_dest_symlink', ''), ('last_file', ''), ('rename_errno', 'int'), ('reflink_mode', 'enum Reflink_type'), ('dest_info', 'Hash_table *'), ('src_info', 'Hash_table *')]; decompiled=[('backup_type', 'int'), ('dereference', 'int'), ('interactive', 'int'), ('sparse_mode', 'int'), ('mode', 'mode_t'), ('flag_14', 'unsigned char'), ('flag_15', 'unsigned char'), ('unlink_dest_before_opening', 'bool'), ('flag_17', 'unsigned char'), ('move_mode', 'bool'), ('owner_privileges', 'unsigned char'), ('chown_privileges', 'bool'), ('symbolic_link', 'bool'), ('flag_1c', 'unsigned char'), ('preserve_ownership', 'bool'), ('preserve_mode', 'bool'), ('preserve_timestamps', 'bool'), ('explicit_no_preserve_mode', 'bool'), ('pad_21', 'unsigned char[7]'), ('security_context', 'void *'), ('flag_30', 'unsigned char'), ('data_copy_required', 'bool'), ('require_preserve', 'bool'), ('preserve_security_context', 'bool'), ('require_preserve_context', 'bool'), ('preserve_xattr', 'bool'), ('require_preserve_xattr', 'bool'), ('reduce_diagnostics', 'bool'), ('flag_38', 'unsigned char'), ('set_mode', 'bool'), ('flag_3a', 'unsigned char'), ('flag_3b', 'unsigned char'), ('verbose', 'bool'), ('flag_3d', 'unsigned char'), ('open_dangling_dest_symlink', 'bool'), ('flag_3f', 'unsigned char'), ('cached_umask', 'int'), ('reflink_mode', 'int')]"
coreutils,O2-noinline,cp,copy_reg,590,codex,ARR-01,no,0.4411764705882353,0.24840255591054314,26.0,no array/pointer sentinel mismatch found
coreutils,O2-noinline,cp,copy_reg,590,claude-code,SC-01,no,0.5588235294117647,0.0,142.0,no role-aligned static-to-extern declaration
coreutils,O2-noinline,cp,copy_reg,590,claude-code,ST-01,no,0.5588235294117647,0.0,142.0,no missing-member diagnostic or visible collision
coreutils,O2-noinline,cp,copy_reg,590,claude-code,PTR-01,no,0.5588235294117647,0.0,142.0,pointer depth agrees for 20 aligned fields
coreutils,O2-noinline,cp,copy_reg,590,claude-code,INT-01,no,0.5588235294117647,0.0,142.0,typedefs agree for 2 exact-name declarations
coreutils,O2-noinline,cp,copy_reg,590,claude-code,FN-01,no,0.5588235294117647,0.0,142.0,"matching canonical signature=('bool', ('const char*', 'const char*', 'int', 'const char*', 'const struct cp_options*', 'mode_t', 'mode_t', 'bool*', 'const struct stat*'))"
coreutils,O2-noinline,cp,copy_reg,590,claude-code,LAYOUT-01,yes,0.5588235294117647,0.0,142.0,"struct cp_options: source=[('backup_type', 'enum backup_type'), ('dereference', 'enum Dereference_symlink'), ('interactive', 'enum Interactive'), ('sparse_mode', 'enum Sparse_type'), ('mode', 'mode_t'), ('copy_as_regular', ''), ('unlink_dest_before_opening', ''), ('unlink_dest_after_failed_open', ''), ('hard_link', ''), ('move_mode', ''), ('install_mode', ''), ('chown_privileges', ''), ('owner_privileges', ''), ('one_file_system', ''), ('preserve_ownership', ''), ('preserve_mode', ''), ('preserve_timestamps', ''), ('explicit_no_preserve_mode', ''), ('set_security_context', 'struct selabel_handle *'), ('preserve_links', ''), ('data_copy_required', ''), ('require_preserve', ''), ('preserve_security_context', ''), ('require_preserve_context', ''), ('preserve_xattr', ''), ('require_preserve_xattr', ''), ('reduce_diagnostics', ''), ('recursive', ''), ('set_mode', ''), ('symbolic_link', ''), ('update', ''), ('verbose', ''), ('stdin_tty', ''), ('open_dangling_dest_symlink', ''), ('last_file', ''), ('rename_errno', 'int'), ('reflink_mode', 'enum Reflink_type'), ('dest_info', 'Hash_table *'), ('src_info', 'Hash_table *')]; decompiled=[('backup_type', 'int'), ('dereference', 'enum Dereference_symlink'), ('interactive', 'int'), ('sparse_mode', 'enum Sparse_type'), ('mode', 'mode_t'), ('reserved_14', 'char[2]'), ('unlink_dest_after_failed_open', 'bool'), ('reserved_17', 'char'), ('preserve_security_context', 'bool'), ('reserved_19', 'char[2]'), ('move_mode', 'bool'), ('reserved_1c', 'char'), ('preserve_ownership', 'bool'), ('reserved_1e', 'char'), ('preserve_timestamps', 'bool'), ('preserve_links', 'bool'), ('reserved_21', 'char[7]'), ('set_security_context', 'void *'), ('data_copy_required', 'bool'), ('require_preserve', 'bool'), ('require_preserve_context', 'bool'), ('preserve_xattr', 'bool'), ('selinux_privileges', 'bool'), ('require_preserve_xattr', 'bool'), ('reserved_37', 'char[2]'), ('preserve_mode', 'bool'), ('reserved_3a', 'char[2]'), ('explicit_no_preserve_mode', 'bool'), ('reserved_3d', 'char'), ('dereference_dangling', 'bool'), ('reserved_3f', 'char[5]'), ('reflink_mode', 'enum Reflink_type')]"
