agent,pattern,hit_count,candidate_count,evaluable_count,decisive_count,denominator,evaluable_rate,minimum_evaluable_rate,coverage_acceptable,hit_rate,mean_type_match_of_hits,classification
codex,SC-01,1,17,52,35,52,100.00%,75.00%,True,1.92%,0.000000,未达关注阈值
codex,ST-01,1,11,52,41,52,100.00%,75.00%,True,1.92%,0.000000,未达关注阈值
codex,PTR-01,0,2,12,10,52,23.08%,75.00%,False,0.00%,,数据不足（仅 12/52 可判定，要求 ≥75%）
codex,INT-01,2,0,10,10,52,19.23%,75.00%,False,3.85%,0.223148,数据不足（仅 10/52 可判定，要求 ≥75%）
codex,FN-01,5,4,49,45,52,94.23%,75.00%,True,9.62%,0.199589,未达关注阈值
codex,LAYOUT-01,8,2,12,10,52,23.08%,75.00%,False,15.38%,0.242252,数据不足（仅 12/52 可判定，要求 ≥75%）
codex,ARR-01,0,27,52,25,52,100.00%,75.00%,True,0.00%,,未达关注阈值
claude-code,SC-01,0,15,51,36,52,98.08%,75.00%,True,0.00%,,未达关注阈值
claude-code,ST-01,0,8,51,43,52,98.08%,75.00%,True,0.00%,,未达关注阈值
claude-code,PTR-01,0,0,15,15,52,28.85%,75.00%,False,0.00%,,数据不足（仅 15/52 可判定，要求 ≥75%）
claude-code,INT-01,2,0,11,11,52,21.15%,75.00%,False,3.85%,0.171429,数据不足（仅 11/52 可判定，要求 ≥75%）
claude-code,FN-01,6,3,42,39,52,80.77%,75.00%,True,11.54%,0.108500,值得关注
claude-code,LAYOUT-01,10,2,15,13,52,28.85%,75.00%,False,19.23%,0.207514,数据不足（仅 15/52 可判定，要求 ≥75%）
claude-code,ARR-01,0,22,51,29,52,98.08%,75.00%,True,0.00%,,未达关注阈值
