project,function,decompiler,条目verdict,wrong-entity数,undeterminable-entity数,命中模式列表
bash/man2html,scan_format,claude-code,confirmed=0;rejected=1;undeterminable=0,1,0,FN-01
coreutils/chown,usage,claude-code,confirmed=1;rejected=0;undeterminable=0,1,0,FN-01
coreutils/comm,compare_files,claude-code,confirmed=1;rejected=12;undeterminable=1,1,1,ARRAY-01
coreutils/cp,copy_reg,claude-code,confirmed=0;rejected=0;undeterminable=1,0,10,
coreutils/df,filter_mount_list,claude-code,confirmed=0;rejected=1;undeterminable=0,0,2,
coreutils/shred,dopass,claude-code,confirmed=1;rejected=0;undeterminable=0,0,2,
coreutils/sort,mergelines_node,claude-code,confirmed=0;rejected=1;undeterminable=0,0,0,
coreutils/touch,main,claude-code,confirmed=0;rejected=1;undeterminable=0,0,1,
cronie/cronnext,get_range,claude-code,confirmed=0;rejected=1;undeterminable=0,0,1,
cronie/crontab,get_range,claude-code,confirmed=0;rejected=0;undeterminable=1,0,1,
diffutils/cmp,cmp,claude-code,confirmed=0;rejected=1;undeterminable=0,0,3,
diffutils/diff3,output_diff3_edscript,claude-code,confirmed=1;rejected=0;undeterminable=0,2,0,INT-01
dpkg/dpkg-divert,diversion_add,claude-code,confirmed=1;rejected=0;undeterminable=0,11,0,"LAYOUT-01,ST-01"
dpkg/dpkg-query,pkg_array_match_patterns,claude-code,confirmed=0;rejected=1;undeterminable=0,0,4,
e2fsprogs/e2fsck,check_ea_in_inode,claude-code,confirmed=1;rejected=0;undeterminable=0,3,6,"FN-01,OTHER"
gnutls/certtool,yyparse,claude-code,confirmed=0;rejected=1;undeterminable=0,5,1,"LAYOUT-01,PTR-01"
gnutls/gnutls-cli,send_ocsp_request,claude-code,confirmed=1;rejected=2;undeterminable=4,2,5,QUAL-01
gnutls/gnutls-serv,main,claude-code,confirmed=1;rejected=0;undeterminable=0,2,2,FN-01
gnutls/ocsptool,socket_open2,claude-code,confirmed=0;rejected=1;undeterminable=0,1,2,ARRAY-01
gnutls/psktool,process_options,claude-code,confirmed=1;rejected=0;undeterminable=0,9,0,"LAYOUT-01,ST-01"
gnutls/systemkey,print_list,claude-code,confirmed=0;rejected=1;undeterminable=0,0,0,
libacl/chacl,main,claude-code,confirmed=1;rejected=0;undeterminable=0,4,3,"LAYOUT-01,SC-01"
libacl/setfacl,restore,claude-code,confirmed=1;rejected=0;undeterminable=0,4,2,"LAYOUT-01,ST-01"
libopencm3/cdcacm,dwc_poll,claude-code,confirmed=1;rejected=0;undeterminable=0,5,2,"FN-01,INT-01,LAYOUT-01"
libopencm3/msc,_usbd_standard_request_device,claude-code,confirmed=1;rejected=0;undeterminable=0,5,1,"FN-01,SC-01"
libopencm3/sdram,main,claude-code,confirmed=1;rejected=0;undeterminable=0,3,0,"FN-01,INT-01"
libopencm3/usbmidi,dwc_poll,claude-code,confirmed=0;rejected=1;undeterminable=0,2,3,"FN-01,INT-01"
openssh-portable/ssh-add,revoked_certs_generate,claude-code,confirmed=0;rejected=1;undeterminable=0,0,0,
openssh-portable/ssh-keygen,ssh_rsa_verify,claude-code,confirmed=0;rejected=1;undeterminable=0,0,2,
openssh-portable/ssh-keyscan,argv_split,claude-code,confirmed=1;rejected=0;undeterminable=0,1,1,INT-01
